Gene,Annotation
PRDM1,Overlap
PRDX1,Overlap
PRF1,Overlap
PRG2,Overlap
PRKCD,Overlap
PRKCE,Overlap
PRKD1,Overlap
PRKDC,Overlap
PSPC1,Overlap
PSTPIP1,Overlap
PTAFR,Overlap
PTGER4,Overlap
PTGS2OS,Overlap
PTPN2,Overlap
PTPN6,Overlap
PTPN22,Overlap
PTPRC,Overlap
PTPRS,Overlap
PTX3,Overlap
PUM1,Overlap
PUM2,Overlap
PVR,Overlap
PYCARD,Overlap
RAB7B,Overlap
RAB11FIP2,Overlap
RAB11FIP5,Overlap
RAB12,Overlap
RAB20,Overlap
RAB27A,Overlap
RAB43,Overlap
RAET1A,Overlap
RAET1B,Overlap
RAET1C,Overlap
RAET1D,Overlap
RARRES2,Overlap
RASGRP1,Overlap
RBM14,Overlap
RBPJ,Overlap
REG3A,Overlap
REG3B,Overlap
REG3G,Overlap
RELA,Overlap
RFTN1,Overlap
RIOK3,Overlap
RIPK2,Overlap
RNASE6,Overlap
RNF19B,Overlap
RNF135,Overlap
ROMO1,Overlap
RPL13A,Overlap
RPL30,Overlap
RPL39,Overlap
RPS6KA3,Overlap
RPS6KB1,Overlap
RPS19,Overlap
RSAD2,Overlap
RTN4,Overlap
S100A8,Overlap
S100A9,Overlap
S100A14,Overlap
SAMHD1,Overlap
SARM1,Overlap
SBNO2,Overlap
SCIMP,Overlap
SDHAF4,Overlap
SEC14L1,Overlap
SELENOS,Overlap
SERINC3,Overlap
SERINC5,Overlap
SERPINB1A,Overlap
SERPINB3A,Overlap
SERPINB9,Overlap
SERPING1,Overlap
SETD2,Overlap
SFPQ,Overlap
SFTPD,Overlap
SH2D1A,Overlap
SH2D1B1,Overlap
SH2D1B2,Overlap
SHFL,Overlap
SHMT2,Overlap
SIGLECG,Overlap
SIN3A,Overlap
SIRPA,Overlap
SKP2,Overlap
SLAMF1,Overlap
SLAMF6,Overlap
SLAMF7,Overlap
SLAMF8,Overlap
SLC11A1,Overlap
SLC26A6,Overlap
SLC46A2,Overlap
SLPI,Overlap
SMAD3,Overlap
SMPDL3B,Overlap
SNCA,Overlap
SOCS1,Overlap
SP110,Overlap
SPAG11A,Overlap
SPINK5,Overlap
SPN,Overlap
SPON2,Overlap
SSC5D,Overlap
STAP1,Overlap
STAT1,Overlap
STAT2,Overlap
STAT5A,Overlap
STAT5B,Overlap
STX4A,Overlap
STX8,Overlap
STX11,Overlap
STXBP1,Overlap
STXBP2,Overlap
STXBP3,Overlap
STXBP4,Overlap
SUSD4,Overlap
SYK,Overlap
SYNCRIP,Overlap
TAC1,Overlap
TAP1,Overlap
TAP2,Overlap
TARM1,Overlap
TBK1,Overlap
TBKBP1,Overlap
TDGF1,Overlap
TFEB,Overlap
TGFB1,Overlap
TGTP1,Overlap
TICAM1,Overlap
TICAM2,Overlap
TIFA,Overlap
TIRAP,Overlap
TKFC,Overlap
TLR1,Overlap
TLR2,Overlap
TLR3,Overlap
